graph_name,alg_name,time,number_of_colors
fence,ConnectedSequential,51572,2
fence,ConnectedSequential,51714,2
fence,ConnectedSequential,52539,2
fence,ConnectedSequential,51626,2
fence,ConnectedSequential,51403,2
fence,ConnectedSequential,51522,2
fence,ConnectedSequential,52584,2
fence,ConnectedSequential,51792,2
fence,ConnectedSequential,52577,2
fence,ConnectedSequential,51516,2
fence,ConnectedSequential,57704,2
fence,ConnectedSequential,56952,2
fence,ConnectedSequential,54422,2
fence,ConnectedSequential,51148,2
fence,ConnectedSequential,51428,2
fence,ConnectedSequential,51606,2
fence,ConnectedSequential,51435,2
fence,ConnectedSequential,53149,2
fence,ConnectedSequential,51596,2
fence,ConnectedSequential,51412,2
fence,ConnectedSequential,51414,2
fence,ConnectedSequential,52178,2
fence,ConnectedSequential,51776,2
fence,ConnectedSequential,52618,2
fence,ConnectedSequential,50495,2
fence,ConnectedSequential,50074,2
fence,ConnectedSequential,50282,2
fence,ConnectedSequential,50404,2
fence,ConnectedSequential,49967,2
fence,ConnectedSequential,50500,2
fence,ConnectedSequential,50085,2
fence,ConnectedSequential,50337,2
fence,ConnectedSequential,50168,2
fence,ConnectedSequential,50319,2
fence,ConnectedSequential,50668,2
fence,ConnectedSequential,50746,2
fence,ConnectedSequential,50705,2
fence,ConnectedSequential,50498,2
fence,ConnectedSequential,50657,2
fence,ConnectedSequential,54907,2
fence,ConnectedSequential,52629,2
fence,ConnectedSequential,52492,2
fence,ConnectedSequential,52686,2
fence,ConnectedSequential,52758,2
fence,ConnectedSequential,52743,2
fence,ConnectedSequential,53935,2
fence,ConnectedSequential,53090,2
fence,ConnectedSequential,57730,2
fence,ConnectedSequential,57114,2
fence,ConnectedSequential,57745,2
fence,ConnectedSequential,52974,2
fence,ConnectedSequential,53411,2
fence,ConnectedSequential,52290,2
fence,ConnectedSequential,53002,2
fence,ConnectedSequential,53717,2
fence,ConnectedSequential,51515,2
fence,ConnectedSequential,51621,2
fence,ConnectedSequential,51204,2
fence,ConnectedSequential,51310,2
fence,ConnectedSequential,52894,2
fence,ConnectedSequential,51691,2
fence,ConnectedSequential,51833,2
fence,ConnectedSequential,52257,2
fence,ConnectedSequential,51756,2
fence,ConnectedSequential,52022,2
fence,ConnectedSequential,51594,2
fence,ConnectedSequential,51460,2
fence,ConnectedSequential,52013,2
fence,ConnectedSequential,51798,2
fence,ConnectedSequential,51518,2
fence,ConnectedSequential,51729,2
fence,ConnectedSequential,51830,2
fence,ConnectedSequential,51499,2
fence,ConnectedSequential,51551,2
fence,ConnectedSequential,51342,2
fence,ConnectedSequential,51547,2
fence,ConnectedSequential,51667,2
fence,ConnectedSequential,52298,2
fence,ConnectedSequential,52046,2
fence,ConnectedSequential,51850,2
fence,ConnectedSequential,51883,2
fence,ConnectedSequential,52804,2
fence,ConnectedSequential,52405,2
fence,ConnectedSequential,53198,2
fence,ConnectedSequential,52992,2
fence,ConnectedSequential,52729,2
fence,ConnectedSequential,53160,2
fence,ConnectedSequential,52967,2
fence,ConnectedSequential,54693,2
fence,ConnectedSequential,53394,2
fence,ConnectedSequential,53220,2
fence,ConnectedSequential,52921,2
fence,ConnectedSequential,52500,2
fence,ConnectedSequential,53181,2
fence,ConnectedSequential,53171,2
fence,ConnectedSequential,52721,2
fence,ConnectedSequential,58121,2
fence,ConnectedSequential,57269,2
fence,ConnectedSequential,55995,2
fence,ConnectedSequential,52893,2
fence,ConnectedSequential,52341,2
fence,ConnectedSequential,52816,2
fence,ConnectedSequential,53218,2
fence,ConnectedSequential,53260,2
fence,ConnectedSequential,52250,2
fence,ConnectedSequential,52571,2
fence,ConnectedSequential,52774,2
fence,ConnectedSequential,52617,2
fence,ConnectedSequential,58214,2
fence,ConnectedSequential,52218,2
fence,ConnectedSequential,53478,2
fence,ConnectedSequential,52533,2
fence,ConnectedSequential,53057,2
fence,ConnectedSequential,52225,2
fence,ConnectedSequential,52663,2
fence,ConnectedSequential,53310,2
fence,ConnectedSequential,52846,2
fence,ConnectedSequential,53316,2
fence,ConnectedSequential,64332,2
fence,ConnectedSequential,53214,2
fence,ConnectedSequential,52798,2
fence,ConnectedSequential,52942,2
fence,ConnectedSequential,53188,2
fence,ConnectedSequential,52813,2
fence,ConnectedSequential,52690,2
fence,ConnectedSequential,52814,2
fence,ConnectedSequential,53002,2
fence,ConnectedSequential,52796,2
fence,ConnectedSequential,53187,2
fence,ConnectedSequential,54681,2
fence,ConnectedSequential,52947,2
fence,ConnectedSequential,52374,2
fence,ConnectedSequential,53023,2
fence,ConnectedSequential,53161,2
fence,ConnectedSequential,52946,2
fence,ConnectedSequential,53144,2
fence,ConnectedSequential,53562,2
fence,ConnectedSequential,52538,2
fence,ConnectedSequential,52895,2
fence,ConnectedSequential,52951,2
fence,ConnectedSequential,52408,2
fence,ConnectedSequential,52729,2
fence,ConnectedSequential,52602,2
fence,ConnectedSequential,53094,2
fence,ConnectedSequential,57876,2
fence,ConnectedSequential,57633,2
fence,ConnectedSequential,58020,2
fence,ConnectedSequential,62540,2
fence,ConnectedSequential,52760,2
fence,ConnectedSequential,52479,2
fence,ConnectedSequential,52823,2
fence,ConnectedSequential,53064,2
fence,ConnectedSequential,52793,2
fence,ConnectedSequential,53025,2
fence,ConnectedSequential,52872,2
fence,ConnectedSequential,52796,2
fence,ConnectedSequential,53306,2
fence,ConnectedSequential,53788,2
fence,ConnectedSequential,52895,2
fence,ConnectedSequential,52658,2
fence,ConnectedSequential,53519,2
fence,ConnectedSequential,53254,2
fence,ConnectedSequential,55853,2
fence,ConnectedSequential,53539,2
fence,ConnectedSequential,53226,2
fence,ConnectedSequential,52636,2
fence,ConnectedSequential,53029,2
fence,ConnectedSequential,52458,2
fence,ConnectedSequential,53492,2
fence,ConnectedSequential,53491,2
fence,ConnectedSequential,52928,2
fence,ConnectedSequential,54620,2
fence,ConnectedSequential,52953,2
fence,ConnectedSequential,53335,2
fence,ConnectedSequential,52904,2
fence,ConnectedSequential,52759,2
fence,ConnectedSequential,52683,2
fence,ConnectedSequential,52520,2
fence,ConnectedSequential,52867,2
fence,ConnectedSequential,52510,2
fence,ConnectedSequential,53232,2
fence,ConnectedSequential,52767,2
fence,ConnectedSequential,53122,2
fence,ConnectedSequential,53272,2
fence,ConnectedSequential,53204,2
fence,ConnectedSequential,53088,2
fence,ConnectedSequential,53298,2
fence,ConnectedSequential,54103,2
fence,ConnectedSequential,53687,2
fence,ConnectedSequential,52994,2
fence,ConnectedSequential,53449,2
fence,ConnectedSequential,53365,2
fence,ConnectedSequential,58062,2
fence,ConnectedSequential,52732,2
fence,ConnectedSequential,52906,2
fence,ConnectedSequential,52507,2
fence,ConnectedSequential,52764,2
fence,ConnectedSequential,53187,2
fence,ConnectedSequential,53575,2
fence,ConnectedSequential,52393,2
fence,ConnectedSequential,53086,2
fence,ConnectedSequential,52883,2
fence,ConnectedSequential,52799,2
fence,ConnectedSequential,53667,2
fence,ConnectedSequential,53121,2
fence,ConnectedSequential,52612,2
fence,ConnectedSequential,52638,2
fence,ConnectedSequential,53192,2
fence,ConnectedSequential,53467,2
fence,ConnectedSequential,55160,2
fence,ConnectedSequential,54484,2
fence,ConnectedSequential,53607,2
fence,ConnectedSequential,55531,2
fence,ConnectedSequential,54152,2
fence,ConnectedSequential,59002,2
fence,ConnectedSequential,56520,2
fence,ConnectedSequential,56747,2
fence,ConnectedSequential,54987,2
fence,ConnectedSequential,53831,2
fence,ConnectedSequential,54266,2
fence,ConnectedSequential,53931,2
fence,ConnectedSequential,53445,2
fence,ConnectedSequential,54101,2
fence,ConnectedSequential,54176,2
fence,ConnectedSequential,54013,2
fence,ConnectedSequential,53578,2
fence,ConnectedSequential,53878,2
fence,ConnectedSequential,53297,2
fence,ConnectedSequential,53894,2
fence,ConnectedSequential,53535,2
fence,ConnectedSequential,54604,2
fence,ConnectedSequential,54294,2
fence,ConnectedSequential,53656,2
fence,ConnectedSequential,53722,2
fence,ConnectedSequential,53899,2
fence,ConnectedSequential,53475,2
fence,ConnectedSequential,53291,2
fence,ConnectedSequential,54469,2
fence,ConnectedSequential,53927,2
fence,ConnectedSequential,56168,2
fence,ConnectedSequential,53990,2
fence,ConnectedSequential,53869,2
fence,ConnectedSequential,53553,2
fence,ConnectedSequential,54032,2
fence,ConnectedSequential,53851,2
fence,ConnectedSequential,53855,2
fence,ConnectedSequential,55138,2
fence,ConnectedSequential,54461,2
fence,ConnectedSequential,54638,2
fence,ConnectedSequential,54207,2
fence,ConnectedSequential,54260,2
fence,ConnectedSequential,53509,2
fence,ConnectedSequential,54301,2
fence,ConnectedSequential,53694,2
fence,ConnectedSequential,53473,2
fence,ConnectedSequential,53746,2
fence,ConnectedSequential,53897,2
fence,ConnectedSequential,55795,2
fence,ConnectedSequential,54573,2
fence,ConnectedSequential,54448,2
fence,ConnectedSequential,54609,2
fence,ConnectedSequential,54493,2
fence,ConnectedSequential,53709,2
fence,ConnectedSequential,55137,2
fence,ConnectedSequential,54719,2
fence,ConnectedSequential,54539,2
fence,ConnectedSequential,53640,2
fence,ConnectedSequential,53542,2
fence,ConnectedSequential,53702,2
fence,ConnectedSequential,54468,2
fence,ConnectedSequential,54090,2
fence,ConnectedSequential,53733,2
fence,ConnectedSequential,55064,2
fence,ConnectedSequential,53809,2
fence,ConnectedSequential,53939,2
fence,ConnectedSequential,53965,2
fence,ConnectedSequential,54121,2
fence,ConnectedSequential,53890,2
fence,ConnectedSequential,54518,2
fence,ConnectedSequential,54334,2
fence,ConnectedSequential,54498,2
fence,ConnectedSequential,75106,2
fence,ConnectedSequential,55245,2
fence,ConnectedSequential,53928,2
fence,ConnectedSequential,54646,2
fence,ConnectedSequential,54187,2
fence,ConnectedSequential,55838,2
fence,ConnectedSequential,53528,2
fence,ConnectedSequential,53739,2
fence,ConnectedSequential,54170,2
fence,ConnectedSequential,53901,2
fence,ConnectedSequential,53939,2
fence,ConnectedSequential,53745,2
fence,ConnectedSequential,53911,2
fence,ConnectedSequential,54576,2
fence,ConnectedSequential,54168,2
fence,ConnectedSequential,54129,2
fence,ConnectedSequential,54271,2
fence,ConnectedSequential,58496,2
fence,ConnectedSequential,55270,2
fence,ConnectedSequential,53824,2
fence,ConnectedSequential,54451,2
fence,ConnectedSequential,53650,2
fence,ConnectedSequential,54140,2
fence,ConnectedSequential,54291,2
fence,ConnectedSequential,54361,2
fence,ConnectedSequential,55161,2
fence,ConnectedSequential,54352,2
fence,ConnectedSequential,56527,2
fence,ConnectedSequential,56296,2
fence,ConnectedSequential,54604,2
